title,image,link,date,language,source
"Severodonetsk ""en grande partie"" sous contrôle russe, selon le gouverneur de Louhansk",https://s.france24.com/media/display/7974a128-e759-11ec-a6f2-005056a97e36/w:388/p:16x9/Severodonetsk%20.jpg,https://www.france24.com/fr/europe/20220608-en-direct-le-pr%C3%A9sident-ukrainien-promet-une-d%C3%A9fense-h%C3%A9ro%C3%AFque-%C3%A0-severodonetsk,09/06/2022,fr,france24
"Crise des urgences à l'hôpital : le gouvernement dévoile une série de ""premières mesures""",https://s.france24.com/media/display/2a13e8de-e72f-11ec-9daa-005056bf30b7/w:388/p:16x9/000_MP8QG%281%29.jpg,https://www.france24.com/fr/france/20220608-crise-des-urgences-%C3%A0-l-h%C3%B4pital-le-gouvernement-d%C3%A9voile-une-s%C3%A9rie-de-premi%C3%A8res-mesures,09/06/2022,fr,france24
Vatican : pourquoi les rumeurs d'une abdication du pape François vont bon train,https://s.france24.com/media/display/7a50331e-e6af-11ec-afd4-005056a97e36/w:388/p:16x9/Pape%20Fran%C3%A7ois%2C%204%20juin%202022_%20AFP.jpg,https://www.france24.com/fr/europe/20220608-vatican-pourquoi-les-rumeurs-d-une-abdication-du-pape-fran%C3%A7ois-vont-bon-train,09/06/2022,fr,france24
"En Thaïlande, l'incroyable marché de la voie ferrée de Maeklong retrouve ses touristes",https://s.france24.com/media/display/e6c2d694-e738-11ec-ba3a-005056a9a7b9/w:246/p:16x9/thailande.JPG,https://www.france24.com/fr/vid%C3%A9o/20220608-en-tha%C3%AFlande-l-incroyable-march%C3%A9-de-la-voie-ferr%C3%A9e-de-maeklong-retrouve-ses-touristes,09/06/2022,fr,france24
"Exposition ""Dicokam"" : la nouvelle génération d’artistes camerounais à l’honneur",https://s.france24.com/media/display/a37b612c-e674-11ec-b3ce-005056bfb2b6/w:246/p:16x9/vignette%20dicokam.PNG,https://www.france24.com/fr/vid%C3%A9o/20220607-exposition-dicokam-la-nouvelle-g%C3%A9n%C3%A9ration-d-artistes-camerounais-%C3%A0-l-honneur,09/06/2022,fr,france24
Inde : quand les violences conjugales poussent au suicide,https://s.france24.com/media/display/bc79aec8-e673-11ec-b66c-005056bfb2b6/w:246/p:16x9/Capture%20d%E2%80%99e%CC%81cran%202022-06-07%20a%CC%80%2017.07.42.png,https://www.france24.com/fr/vid%C3%A9o/20220607-inde-quand-les-violences-conjugales-poussent-au-suicide,09/06/2022,fr,france24
Fact or fake : le locataire de l'Élysée est-il à la tête de l'Union Européenne ?,https://s.france24.com/media/display/ca44aa1e-c6f0-11ec-acc0-005056a97e36/w:388/p:16x9/FR%20WB%20FACT%20FAKE%20MELENCHON.jpg,https://www.france24.com/fr/%C3%A9missions/contre-faits/20220429-fact-or-fake-le-locataire-de-l-%C3%A9lys%C3%A9e-est-il-%C3%A0-la-t%C3%AAte-de-l-union-europ%C3%A9enne,09/06/2022,fr,france24
Macron 2 : une impulsion pour les Européens ?,https://s.france24.com/media/display/f0203e40-c6e3-11ec-8cb4-005056bfb2b6/w:388/p:16x9/Debat%20Macron%20FR%20PAD.jpg,https://www.france24.com/fr/%C3%A9missions/ici-l-europe/20220429-macron-2-une-impulsion-pour-les-europ%C3%A9ens,09/06/2022,fr,france24
Elles sont l'avenir de l'Europe,https://s.france24.com/media/display/e164ec3e-93fd-11ec-959f-005056a90284/w:388/p:16x9/cofoe-fr.jpg,https://www.france24.com/fr/%C3%A9missions/ici-l-europe/20220408-elles-sont-l-avenir-de-l-europe,09/06/2022,fr,france24
E-sport : les clichés passés au crible,https://s.france24.com/media/display/53ba4208-e362-11ec-8a21-005056a9a7b9/w:388/p:16x9/capture-713994176629a444f2420a8.52170765.jpg,https://www.france24.com/fr/%C3%A9missions/tech-24/20220603-e-sport-les-clich%C3%A9s-pass%C3%A9s-au-crible,09/06/2022,fr,france24
